Unnamed: 0,property_type,sector,society,price,price_per_sqft,built_up_area,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
0,flat,sector 86,ansal heights 86,0.78,5735.29,1360.0,2,2,2,8.0,New Property,0,0,0,0,0,1,72,"28.3986° N, 76.9384° E",28.3986,76.9384
1,flat,sector 103,indiabulls centrum park,1.05,5859.38,1365.0,2,2,3,1.0,Relatively New,0,0,0,0,0,2,51,"28.4949° N, 76.9845° E",28.4949,76.9845
3,flat,sector 69,tulip violet,2.05,9951.46,1889.0,4,4,2,0.0,Relatively New,0,0,0,0,0,1,157,"28.3966° N, 77.0341° E",28.3966,77.0341
5,flat,sector 92,bestech park view sanskruti,1.83,7870.97,2104.0,4,3,3,8.0,New Property,0,1,0,0,0,1,128,"28.4079° N, 76.9153° E",28.4079,76.9153
6,flat,sector 56,the castle society,2.0,8695.65,2081.0,4,4,2,4.0,Under Construction,0,0,0,0,0,1,0,"28.4245° N, 77.0991° E",28.4245,77.0991
8,flat,sector 43,silverglades hightown residences,4.2,19764.71,2125.0,3,4,2,7.0,Under Construction,0,0,0,0,0,1,42,"28.4629° N, 77.0772° E",28.4629,77.0772
9,house,sector 9,independent,0.6,10752.69,558.0,3,3,1,2.0,Relatively New,0,0,0,0,0,1,0,"28.4603° N, 77.0000° E",28.4603,77.0
11,house,sector 23,independent,4.0,16006.4,2430.0,3,3,2,2.0,Moderately Old,0,1,0,0,0,2,115,"28.5121° N, 77.0478° E",28.5121,77.0478
12,flat,sector 69,tulip violet,1.37,8676.38,1568.0,3,3,1,12.0,Relatively New,0,0,0,1,0,1,95,"28.3966° N, 77.0341° E",28.3966,77.0341
13,flat,sector 33,godrej nature plus,1.65,8266.53,2218.0,3,3,3,2.0,Under Construction,0,1,0,0,0,1,37,"28.4420° N, 77.0207° E",28.442,77.0207
14,flat,sector 12,bhagwati sadan,1.15,5499.76,2000.0,3,4,2,2.0,Old Property,0,1,0,0,1,1,0,"28.4723° N, 77.0320° E",28.4723,77.032
15,flat,sector 92,sare crescent parc royal greens phase 1,1.25,5832.94,1939.0,4,4,3,20.0,Relatively New,0,1,0,0,0,1,60,"28.4079° N, 76.9153° E",28.4079,76.9153
16,flat,sector 89,tulip petals,1.1,7096.77,1550.0,3,2,3,4.0,New Property,0,0,0,0,0,1,0,"28.4253° N, 76.9439° E",28.4253,76.9439
17,flat,sector 93,signature global orchard avenue,0.36,6716.42,604.0,2,2,2,6.0,Relatively New,0,0,0,0,0,1,16,"28.4153° N, 76.9326° E",28.4153,76.9326
18,flat,sector 37d,signature global city 37d ph 2,1.36,8848.41,1535.0,3,3,3,1.0,Under Construction,0,0,0,1,1,1,37,"28.4478° N, 76.9703° E",28.4478,76.9703
19,flat,sector 69,tulip violet,1.65,8870.97,1578.0,3,3,2,1.0,Relatively New,0,0,0,0,0,2,69,"28.3966° N, 77.0341° E",28.3966,77.0341
20,house,sector 7,shivpuri,2.4,8888.89,2700.0,10,5,3,2.0,Old Property,1,1,0,1,0,1,8,"28.4644° N, 77.0143° E",28.4644,77.0143
21,flat,sector 89,ats marigold,1.5,8498.58,1480.0,3,3,3,5.0,Under Construction,0,0,0,0,0,1,96,"28.4253° N, 76.9439° E",28.4253,76.9439
22,flat,sector 88a,godrej oasis,1.3,7258.51,1990.0,3,3,3+,4.0,Relatively New,0,0,0,0,0,1,79,"28.4347° N, 76.9557° E",28.4347,76.9557
23,flat,sector 65,m3m latitude,4.7,19747.9,2380.0,3,3,3+,9.0,Relatively New,0,1,0,1,0,2,44,"28.4030° N, 77.0690° E",28.403,77.069
24,house,sector 43,independent,5.3,27390.18,1935.0,3,9,3+,3.0,Moderately Old,0,1,0,0,0,2,71,"28.4629° N, 77.0772° E",28.4629,77.0772
25,house,sector 92,sare crescent parc royal greens phase 1,0.85,4876.65,1743.0,4,4,3,4.0,Relatively New,0,0,0,0,0,1,0,"28.4079° N, 76.9153° E",28.4079,76.9153
26,flat,sector 37c,ild grand,1.2,6593.41,1647.0,3,3,3,7.0,Under Construction,0,0,0,0,0,1,24,"28.4515° N, 76.9882° E",28.4515,76.9882
27,flat,sector 103,indiabulls centrum park,2.36,9182.88,2729.0,4,6,3+,8.0,Relatively New,0,1,0,0,0,2,159,"28.4949° N, 76.9845° E",28.4949,76.9845
28,flat,sector 85,orris carnation residency,0.9,4531.72,1575.0,4,4,3,8.0,Moderately Old,0,0,0,0,0,2,40,"28.4042° N, 76.9513° E",28.4042,76.9513
29,flat,sector 68,pareena mi casa,1.7,8500.0,1809.0,4,4,3+,23.0,New Property,0,0,0,0,0,1,88,"28.3853° N, 77.0484° E",28.3853,77.0484
30,house,sector 4,independent,0.85,7522.12,1130.0,3,3,0,1.0,Moderately Old,0,0,0,0,0,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
31,flat,sector 67,m3m merlin,2.98,14557.89,2047.0,3,3,3,0.0,Relatively New,0,0,0,0,1,2,49,"28.3859° N, 77.0608° E",28.3859,77.0608
32,flat,sector 67a,pyramid urban,0.7,11844.33,657.0,2,2,1,14.0,New Property,0,0,0,0,0,1,44,"28.3960° N, 77.0372° E",28.396,77.0372
33,flat,sector 83,vatika gurgaon,0.84,6746.99,1127.0,2,2,2,7.0,Moderately Old,0,0,0,0,0,2,157,"28.3986° N, 76.9647° E",28.3986,76.9647
34,flat,sector 106,paras dews,0.92,6642.6,940.0,2,2,3+,2.0,Relatively New,0,0,0,0,0,1,174,"28.5007° N, 77.0003° E",28.5007,77.0003
35,house,sector 66,emaar mgf marbella,12.0,38095.24,3150.0,5,6,3+,4.0,New Property,0,1,0,1,0,1,38,"28.3925° N, 77.0541° E",28.3925,77.0541
37,flat,sector 33,godrej nature plus,1.07,7725.63,1253.0,2,2,2,14.0,Under Construction,0,0,0,0,0,1,68,"28.4420° N, 77.0207° E",28.442,77.0207
38,flat,sector 24,ambience caitriona,14.0,22222.22,6300.0,4,5,3,3.0,Old Property,0,0,0,0,0,1,0,"28.4939° N, 77.1038° E",28.4939,77.1038
39,house,sector 4,independent,0.47,10609.48,50.0,2,2,1,2.0,New Property,1,0,0,0,0,2,73,"28.4738° N, 77.0107° E",28.4738,77.0107
40,house,sector 82,vatika india next,7.0,21604.94,3900.0,4,4,3+,3.0,Relatively New,0,1,0,0,0,0,105,"28.3935° N, 76.9600° E",28.3935,76.96
41,flat,sector 49,orchid petals,2.38,11497.58,2061.0,3,4,3,1.0,Relatively New,1,0,0,0,0,1,49,"28.4121° N, 77.0480° E",28.4121,77.048
42,flat,sector 89,smart world gems,0.85,7706.26,1226.0,2,2,2,2.0,Under Construction,1,0,0,0,0,1,45,"28.4253° N, 76.9439° E",28.4253,76.9439
43,flat,sector 108,experion the heartsong,1.2,6825.94,1275.53,3,3,3+,10.0,Relatively New,1,0,0,0,0,1,93,"28.5134° N, 76.9830° E",28.5134,76.983
44,flat,sector 102,suncity avenue,0.47,8935.36,582.0,2,2,1,5.0,Relatively New,0,0,1,0,0,1,142,"28.4750° N, 76.9715° E",28.475,76.9715
45,flat,sector 89,smart world gems,0.95,8597.29,1226.0,2,2,2,4.0,New Property,1,1,0,0,0,1,38,"28.4253° N, 76.9439° E",28.4253,76.9439
46,house,sector 48,vipul tatvam villa,7.25,22376.54,3240.0,4,4,3,2.0,Relatively New,1,1,1,1,0,2,103,"28.4177° N, 77.0359° E",28.4177,77.0359
47,flat,sector 81,dlf the ultima,2.3,10994.26,1893.0,3,4,3+,6.0,New Property,0,1,0,0,0,0,167,"28.3867° N, 76.9485° E",28.3867,76.9485
