property_type,sector,price,built_up_area,bedRoom,bathroom,balcony,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sector 86,0.78,1360.0,2,2,2,New Property,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 103,1.05,1365.0,2,2,3,Relatively New,0,0,0,0,0,2,Medium,Low Floor
flat,sector 70a,0.97,1339.0,3,3,3+,Relatively New,0,0,0,0,1,1,Medium,Low Floor
flat,sector 69,2.05,1889.0,4,4,2,Relatively New,0,0,0,0,0,1,High,
flat,sector 92,1.83,2104.0,4,3,3,New Property,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 56,2.0,2081.0,4,4,2,Under Construction,0,0,0,0,0,1,Low,Mid Floor
flat,sector 70a,2.5,1723.0,3,3,3+,Relatively New,0,0,0,0,1,2,High,High Floor
flat,sector 43,4.2,2125.0,3,4,2,Under Construction,0,0,0,0,0,1,Low,Mid Floor
house,sector 9,0.6,558.0,3,3,1,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sohna road,0.71,1131.0,2,2,3+,Relatively New,1,0,0,0,0,1,Low,Mid Floor
house,sector 23,4.0,2430.0,3,3,2,Moderately Old,0,1,0,0,0,2,Medium,Low Floor
flat,sector 69,1.37,1568.0,3,3,1,Relatively New,0,0,0,1,0,1,Medium,High Floor
flat,sector 33,1.65,2218.0,3,3,3,Under Construction,0,1,0,0,0,1,Low,Low Floor
flat,sector 12,1.15,2000.0,3,4,2,Old Property,0,1,0,0,1,1,Low,Low Floor
flat,sector 92,1.25,1939.0,4,4,3,Relatively New,0,1,0,0,0,1,Medium,High Floor
flat,sector 89,1.1,1550.0,3,2,3,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 93,0.36,604.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37d,1.36,1535.0,3,3,3,Under Construction,0,0,0,1,1,1,Low,Low Floor
flat,sector 69,1.65,1578.0,3,3,2,Relatively New,0,0,0,0,0,2,Medium,Low Floor
house,sector 7,2.4,2700.0,10,5,3,Old Property,1,1,0,1,0,1,Low,Low Floor
flat,sector 89,1.5,1480.0,3,3,3,Under Construction,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 88a,1.3,1990.0,3,3,3+,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 65,4.7,2380.0,3,3,3+,Relatively New,0,1,0,1,0,2,Low,Mid Floor
house,sector 43,5.3,1935.0,3,9,3+,Moderately Old,0,1,0,0,0,2,Medium,Mid Floor
house,sector 92,0.85,1743.0,4,4,3,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37c,1.2,1647.0,3,3,3,Under Construction,0,0,0,0,0,1,Low,Mid Floor
flat,sector 103,2.36,2729.0,4,6,3+,Relatively New,0,1,0,0,0,2,High,Mid Floor
flat,sector 85,0.9,1575.0,4,4,3,Moderately Old,0,0,0,0,0,2,Low,Mid Floor
flat,sector 68,1.7,1809.0,4,4,3+,New Property,0,0,0,0,0,1,Medium,High Floor
house,sector 4,0.85,1130.0,3,3,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 67,2.98,2047.0,3,3,3,Relatively New,0,0,0,0,1,2,Low,
flat,sector 67a,0.7,657.0,2,2,1,New Property,0,0,0,0,0,1,Low,High Floor
flat,sector 83,0.84,1127.0,2,2,2,Moderately Old,0,0,0,0,0,2,High,Mid Floor
flat,sector 106,0.92,940.0,2,2,3+,Relatively New,0,0,0,0,0,1,High,Low Floor
house,sector 66,12.0,3150.0,5,6,3+,New Property,0,1,0,1,0,1,Low,Mid Floor
flat,sohna road,0.4,561.0,2,2,3,Under Construction,0,0,0,0,0,1,Low,Mid Floor
flat,sector 33,1.07,1253.0,2,2,2,Under Construction,0,0,0,0,0,1,Medium,High Floor
flat,sector 24,14.0,6300.0,4,5,3,Old Property,0,0,0,0,0,1,Low,Mid Floor
house,sector 4,0.47,50.0,2,2,1,New Property,1,0,0,0,0,2,Medium,Low Floor
house,sector 82,7.0,3900.0,4,4,3+,Relatively New,0,1,0,0,0,0,Medium,Mid Floor
