property_type,sector,society,price,area,price_per_sqft,built_up_area,carpet_area,super_built_up_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,sector 86,ansal heights 86,0.78,1360.0,5735.29,1360.0,,,2,2,2,8.0,North,New Property,0,0,0,0,0,1,72,680.0
flat,sector 103,indiabulls centrum park,1.05,1792.0,5859.38,1365.0,900.0,,2,2,3,1.0,West,Relatively New,0,0,0,0,0,2,51,896.0
flat,sector 70a,bptp astaire gardens,0.97,1473.0,6585.2,,,1480.0,3,3,3+,1.0,West,Relatively New,0,0,0,0,1,1,149,491.0
flat,sector 69,tulip violet,2.05,2060.0,9951.46,,,2087.0,4,4,2,0.0,North-West,Relatively New,0,0,0,0,0,1,157,515.0
flat,sector 92,bestech park view sanskruti,1.83,2325.0,7870.97,,,2325.0,4,3,3,8.0,East,New Property,0,1,0,0,0,1,128,581.25
flat,sector 56,the castle society,2.0,2300.0,8695.65,,,2300.0,4,4,2,4.0,,Under Construction,0,0,0,0,0,1,0,575.0
flat,sector 70a,aipl the peaceful homes,2.5,2150.0,11627.91,,1350.0,2150.0,3,3,3+,15.0,North-East,Relatively New,0,0,0,0,1,2,174,716.6666666666666
flat,sector 43,silverglades hightown residences,4.2,2125.0,19764.71,,,2150.0,3,4,2,7.0,East,Under Construction,0,0,0,0,0,1,42,708.3333333333334
house,sector 9,independent,0.6,558.0,10752.69,558.0,,,3,3,1,2.0,,Relatively New,0,0,0,0,0,1,0,186.0
flat,sohna road,eldeco accolade,0.71,1447.0,4906.7,,849.0,1457.0,2,2,3+,10.0,North-East,Relatively New,1,0,0,0,0,1,49,723.5
house,sector 23,independent,4.0,2499.0,16006.4,2430.0,,,3,3,2,2.0,East,Moderately Old,0,1,0,0,0,2,115,833.0
flat,sector 69,tulip violet,1.37,1579.0,8676.38,,1538.0,1578.0,3,3,1,12.0,East,Relatively New,0,0,0,1,0,1,95,526.3333333333334
flat,sector 33,godrej nature plus,1.65,1996.0,8266.53,,1996.0,,3,3,3,2.0,,Under Construction,0,1,0,0,0,1,37,665.3333333333334
flat,sector 12,bhagwati sadan,1.15,2091.0,5499.76,2000.0,,,3,4,2,2.0,,Old Property,0,1,0,0,1,1,0,697.0
flat,sector 92,sare crescent parc royal greens phase 1,1.25,2143.0,5832.94,,,2143.0,4,4,3,20.0,East,Relatively New,0,1,0,0,0,1,60,535.75
flat,sector 89,tulip petals,1.1,1550.0,7096.77,1550.0,1320.0,,3,2,3,4.0,,Undefined,0,0,0,0,0,1,0,516.6666666666666
flat,sector 93,signature global orchard avenue,0.36,536.0,6716.42,,543.57695,,2,2,2,6.0,North,Relatively New,0,0,0,0,0,1,16,268.0
flat,sector 37d,signature global city 37d ph 2,1.36,1537.0,8848.41,1535.0,,,3,3,3,1.0,North-East,Under Construction,0,0,0,1,1,1,37,512.3333333333334
flat,sector 69,tulip violet,1.65,1860.0,8870.97,1578.0,,,3,3,2,1.0,,Relatively New,0,0,0,0,0,2,69,620.0
house,sector 7,shivpuri,2.4,2700.0,8888.89,2700.0,,,10,5,3,2.0,North,Old Property,1,1,0,1,0,1,8,270.0
flat,sector 89,ats marigold,1.5,1765.0,8498.58,1480.0,1450.0,1750.0,3,3,3,5.0,North,Under Construction,0,0,0,0,0,1,96,588.3333333333334
flat,sector 88a,godrej oasis,1.3,1791.0,7258.51,,1791.0,,3,3,3+,4.0,North-West,Relatively New,0,0,0,0,0,1,79,597.0
flat,sector 65,m3m latitude,4.7,2380.0,19747.9,,1231.0,2380.0,3,3,3+,9.0,North-East,Relatively New,0,1,0,1,0,2,44,793.3333333333334
house,sector 43,independent,5.3,1935.0,27390.18,1935.0,,,3,9,3+,3.0,East,Moderately Old,0,1,0,0,0,2,71,645.0
house,sector 92,sare crescent parc royal greens phase 1,0.85,1743.0,4876.65,1743.0,,,4,4,3,4.0,,Undefined,0,0,0,0,0,1,0,435.75
flat,sector 37c,ild grand,1.2,1820.0,6593.41,,,1820.0,3,3,3,7.0,,Under Construction,0,0,0,0,0,1,24,606.6666666666666
flat,sector 103,indiabulls centrum park,2.36,2570.0,9182.88,,2570.0,2875.0,4,6,3+,8.0,East,Relatively New,0,1,0,0,0,2,159,642.5
flat,sector 85,orris carnation residency,0.9,1986.0,4531.72,1575.0,1435.0,1975.0,4,4,3,8.0,East,Moderately Old,0,0,0,0,0,2,40,496.5
flat,sector 68,pareena mi casa,1.7,2000.0,8500.0,,,1999.0,4,4,3+,23.0,,New Property,0,0,0,0,0,1,88,500.0
house,sector 4,independent,0.85,1130.0,7522.12,1130.0,,,3,3,0,1.0,,Undefined,0,0,0,0,0,1,0,376.6666666666667
flat,sector 67,m3m merlin,2.98,2047.0,14557.89,,,2047.0,3,3,3,0.0,North,Relatively New,0,0,0,0,1,2,49,682.3333333333334
flat,sector 67a,pyramid urban,0.7,591.0,11844.33,,591.0,,2,2,1,14.0,North,New Property,0,0,0,0,0,1,44,295.5
flat,sector 83,vatika gurgaon,0.84,1245.0,6746.99,,,1245.0,2,2,2,7.0,East,Moderately Old,0,0,0,0,0,2,157,622.5
flat,sector 106,paras dews,0.92,1385.0,6642.6,940.0,845.0,1385.0,2,2,3+,2.0,East,Relatively New,0,0,0,0,0,1,174,692.5
house,sector 66,emaar mgf marbella,12.0,3150.0,38095.24,3150.0,,,5,6,3+,4.0,North-East,New Property,0,1,0,1,0,1,38,630.0
flat,sohna road,tulsiani easy in homes,0.4,505.0,7920.79,,505.0,,2,2,3,9.0,,Under Construction,0,0,0,0,0,1,36,252.5
flat,sector 33,godrej nature plus,1.07,1385.0,7725.63,,,1385.0,2,2,2,14.0,North-East,Under Construction,0,0,0,0,0,1,68,692.5
flat,sector 24,ambience caitriona,14.0,6300.0,22222.22,700.0,,,4,5,3,3.0,East,Undefined,0,0,0,0,0,1,0,1575.0
house,sector 4,independent,0.47,443.0,10609.48,50.0,48.0,,2,2,1,2.0,East,New Property,1,0,0,0,0,2,73,221.5
house,sector 82,vatika india next,7.0,3240.0,21604.94,3900.0,3743.0,,4,4,3+,3.0,North-East,Relatively New,0,1,0,0,0,0,105,810.0
flat,sector 49,orchid petals,2.38,2070.0,11497.58,2061.0,1750.0,2070.0,3,4,3,1.0,West,Relatively New,1,0,0,0,0,1,49,690.0
flat,sector 89,smart world gems,0.85,1103.0,7706.26,,1103.0,,2,2,2,2.0,North-East,Under Construction,1,0,0,0,0,1,45,551.5
flat,sector 108,experion the heartsong,1.2,1758.0,6825.94,1275.53,974.68,1758.0,3,3,3+,10.0,South,Relatively New,1,0,0,0,0,1,93,586.0
flat,sector 102,suncity avenue,0.47,526.0,8935.36,,532.0,632.0,2,2,1,5.0,South-East,Relatively New,0,0,1,0,0,1,142,263.0
flat,sector 89,smart world gems,0.95,1105.0,8597.29,,1103.0,,2,2,2,4.0,,New Property,1,1,0,0,0,1,38,552.5
house,sector 48,vipul tatvam villa,7.25,3240.0,22376.54,360.0,,,4,4,3,2.0,,Relatively New,1,1,1,1,0,2,103,810.0
flat,sector 81,dlf the ultima,2.3,2092.0,10994.26,,,2092.0,3,4,3+,6.0,East,New Property,0,1,0,0,0,0,167,697.3333333333334
house,sector 38,independent,3.9,1836.0,21241.83,1836.0,,,6,6,3+,3.0,North-East,Moderately Old,1,1,0,1,0,1,32,306.0
flat,sector 90,dlf regal gardens,1.75,2215.0,7900.68,,,2215.0,4,4,3+,3.0,East,Relatively New,0,0,0,0,1,1,6,553.75
